ID,MODEL_NO,DIMAID,WID,AIRLINE,AIRCRAFT_TYPE,REGISTRATION,DESCRIPTION,SIZE,PRICE,SHIPPING,TAX,COMPANY,ORDEREDFROM,DATEOFORDER,HangarClub,PictureID
2,AC18022B,,3873,AIR INDIA,B707-400,VT-DJI,Aeroclassics Air India B 707-437 1:400 - AC18022B - ID#3873; 1960s - Delivery  Colors. Named  Nanda Devi .VT-DJI,1:400,122.0,20.0,0.0,AEROCLASSICS,EBAY:marketa2218,2011-02-06,False,2.0
3,HE502238,,12793,KINGFISHER,A320-200,VT-KFA,Herpa Kingfisher Airlines A320-232 1:500 - 502238 - ID#12793 ; 2005s  Colors. New Generation II;VT-KFA,1:500,26.0,3.0,0.0,HERPA,DAC:,2011-02-06,False,3.0
7,DRW55934,,13473,QATAR AIRWAYS,A330-200,A7-ACG,Dragon Wings Qatar Airways A330-202 1:400 - 55934 - ID#13473 : Asian Games - Doha 2006 - Blue  Colors. With Stand.  A7-ACG;PART OF 2 PLANE SET,1:400,20.95,0.4,0.0,DRAGON WINGS,3000toys.com,2011-02-04,False,6.0
11,MP5805,,17047,LUFTHANSA,A340-600,NA,Model Power Lufthansa A340-642 1:500 - 5805 - ID#17047; 1990s  Colors. With  Star Alliance  Logo. With Stand.NA,1:500,14.95,0.4,0.0,MODEL POWER,3000TOYS.COM,2011-02-04,False,10.0
12,AC4XEAJ,,15977,EL AL,B767-300ER,4X-EAJ,Aeroclassics El Al B 767-330ER 1:400 - AC4XEAJ - ID#15977 ;  2000s  Colors. With All-White Fuselage.4X-EAJ,1:400,15.0,1.0,0.0,AEROCLASSICS,JETCOLLECTOR,2011-01-02,False,12.0
16,BB4-2002-03,,3980,ANA,B767-300,JA8288,BigBird400 ANA All Nippon Airways B 767-381 1:400 - BB4-2002-03 - ID#3980; Pokemon (Pocket Monsters) 1999  Colors.JA8288,1:400,31.0,0.0,0.0,BIGBIRD400,EBAY:PKMN2525,2012-01-22,False,16.0
17,IF742002,,12930,PANAM,B747-100,N658PA,Inflight200 Pan American World Airways B 747-121F 1:200 - IF742002 - ID#12930; 1970s  Colors. Named  Clipper Fortune . With  Cargo  Titles.N658PA,1:200,185.0,19.98,0.0,INFLIGHT200,AIRLINEHOBBY,2012-04-08,False,17.0
20,ACCFCPK,,35229,Canadian Pacific,B737-300,C-FCPK,Aeroclassics Canadian Pacific B737-317 1:400 - ACCFCPK - ID#35229; Mid 1980s  Livery;C-FCPK,1:400,35.0,0.0,0.0,Aeroclassics,EZTOYS,2013-03-14,False,20.0
22,SJGIA009,,1999,GARUDA INDONESIA,B747-400,PK-GSI,StarJets Garuda Indonesia B 747-441 1:500 - SJGIA009 - ID#1999 ; 1990s  Colors. With Stand.PK-GSI,1:500,6.5,7.0,0.0,STARJETS,EBAY:blatzy6unk,2011-02-13,False,22.0
23,PH4ANA502,,16929,ANA,B767-300ER,JA606A,Phoenix Models ANA All Nippon Airways B 767-381ER 1:400 - PH4ANA502; Fly! Panda  Colors. With  Star Alliance  Logo. Celebrating 20 Years of Service to China.JA606A,1:400,34.95,0.0,0.0,PHOENIX MODELS,JUSTPLANEFUN,2011-02-11,False,23.0
26,0696FF,,23116,KINGFISHER,A380-800,VT-KIN,Sky500 Kingfisher Airlines A380-841 1:500 - 0696FF; 2000s  Colors.vt-kin,1:500,34.95,6.0,0.0,Sky 500,EBAY:DEMOGRAPHER_X,2011-02-15,False,26.0
